,Name,Team,MatchesPlayed(Sets),KillBlocks,SetAverage
1,Yurii SEMENIUK,UKRAINE,8 (27),21,0.78
2,Filip SAVOVSKI,NORTH MACEDONIA,6 (23),20,0.87
3,Peter ONDROVIC,SLOVAKIA,6 (23),19,0.83
4,Ivan MIHALJ,CROATIA,8 (31),17,0.55
5,Faik Samed GÜNEŞ,TÜRKIYE,7 (28),16,0.57
6,Kruno NIKAČEVIĆ,CROATIA,8 (31),16,0.52
7,Filip CVETICANIN,PORTUGAL,6 (24),15,0.62
8,Adis LAGUMDZIJA,TÜRKIYE,7 (30),15,0.5
9,Severi SAVONSALMI,FINLAND,6 (20),14,0.7
10,Andri AGANITS,ESTONIA,5 (16),13,0.81
11,Adam ZAJICEK,CZECHIA,8 (28),13,0.46
12,Dmytro TERYOMENKO,UKRAINE,8 (25),12,0.48
13,Michal ZEMAN,SLOVAKIA,5 (18),12,0.67
14,Rasmus MIKELSONS,DENMARK,6 (21),11,0.52
15,Jose Pedro PINTO,PORTUGAL,6 (20),11,0.55
16,Miguel SINFRONIO,PORTUGAL,6 (20),11,0.55
17,Andrei BUTNARU,ROMANIA,5 (16),10,0.62
18,Patrik INDRA,CZECHIA,8 (27),10,0.37
19,Martin LICEK,CZECHIA,7 (26),10,0.38
20,Aleksandar LJAFTOV,NORTH MACEDONIA,6 (23),10,0.43
21,Bedirhan BÜLBÜL,TÜRKIYE,6 (25),9,0.36
22,Yiğit GÜLMEZOĞLU,TÜRKIYE,8 (27),8,0.3
23,Mads Kyed JENSEN,DENMARK,6 (20),8,0.4
24,Joonas JOKELA,FINLAND,6 (23),8,0.35
25,Jiri SRB,CZECHIA,5 (16),8,0.5
26,Vasyl TUPCHII,UKRAINE,8 (26),8,0.31
27,Mathijs DESMET,BELGIUM,6 (21),7,0.33
28,Petar DIRLIC,CROATIA,4 (15),7,0.47
29,Fedor IVANOV,FINLAND,6 (23),7,0.3
30,Illia KOVALOV,UKRAINE,8 (25),7,0.28
31,Oskar Kjerstein MADSEN,DENMARK,6 (21),7,0.33
32,Marek SOTOLA,CZECHIA,8 (27),7,0.26
33,Mihkel VARBLANE,ESTONIA,5 (16),7,0.44
34,Lukas VASINA,CZECHIA,8 (29),7,0.24
35,Robert Florin VOLOGA,ROMANIA,3 (13),7,0.54
36,Robert CALIN,ROMANIA,6 (21),6,0.29
37,Arslan EKŞİ,TÜRKIYE,8 (32),6,0.19
38,Alexandre FERREIRA,PORTUGAL,6 (24),6,0.25
39,Nikola GJORGIEV,NORTH MACEDONIA,6 (23),6,0.26
40,Miika HAAPANIEMI,FINLAND,6 (18),6,0.33
41,Tobias Hougs KJÆR,DENMARK,6 (21),6,0.29
42,Miro LEINONEN,FINLAND,6 (14),6,0.43
43,Marino MARELIC,CROATIA,7 (24),6,0.25
44,Marko Mert MATIĆ,TÜRKIYE,6 (21),6,0.29
45,Vlado MILEV,NORTH MACEDONIA,6 (22),6,0.27
46,Ferre REGGERS,BELGIUM,6 (17),6,0.35
47,Filip SESTAN,CROATIA,5 (16),6,0.38
48,Petr SPULAK,CZECHIA,6 (18),6,0.33
49,Jolan COX,BELGIUM,6 (18),5,0.28
50,Julius FIRKAL,SLOVAKIA,6 (21),5,0.24
