,Name,Team,MatchesPlayed(Sets),NumberOfReceptions,PerfectReceptions
1,Jiri HÄNNINEN,FINLAND,6 (17),54,43%
2,Ivo CASAS,PORTUGAL,6 (24),149,39%
3,Dmytro KANAIEV,UKRAINE,8 (26),108,39%
4,Volkan DÖNE,TÜRKIYE,8 (36),191,38%
5,Lourenco MARTINS,PORTUGAL,5 (19),78,36%
6,Ivan ZELJKOVIĆ,CROATIA,7 (22),106,36%
7,Illia KOVALOV,UKRAINE,8 (25),159,34%
8,Oleh PLOTNYTSKYI,UKRAINE,8 (26),117,34%
9,Milan MONIK,CZECHIA,5 (17),70,33%
10,Karli ALLIK,ESTONIA,6 (21),73,32%
11,Yiğit GÜLMEZOĞLU,TÜRKIYE,8 (27),110,32%
12,Voitto KÖYKKÄ,FINLAND,5 (20),117,32%
13,Niko SUIHKONEN,FINLAND,3 (10),41,32%
14,Lukas VASINA,CZECHIA,8 (29),143,32%
15,Oskar Kjerstein MADSEN,DENMARK,6 (21),111,31%
16,Jakub IHNAT,SLOVAKIA,6 (23),122,30%
17,Nikolaj HJORTH,DENMARK,6 (21),122,29%
18,Marius IFTIME,ROMANIA,5 (13),59,29%
19,Marino MARELIC,CROATIA,7 (24),121,29%
20,Vlado MILEV,NORTH MACEDONIA,6 (22),130,29%
21,Antti RONKAINEN,FINLAND,6 (23),140,29%
22,Burutay SUBASI,TÜRKIYE,4 (15),65,29%
23,Sergio DIACONESCU,ROMANIA,6 (19),103,28%
24,Robbe VAN DE VELDE,BELGIUM,4 (8),40,28%
25,Tino BUSAK VIDAKOVIĆ,CROATIA,6 (23),105,27%
26,Alexandre FERREIRA,PORTUGAL,6 (24),130,27%
27,Marian Iulian BALA,ROMANIA,3 (13),62,26%
28,Daniel CECH,CZECHIA,4 (9),40,25%
29,Martin LICEK,CZECHIA,7 (26),186,25%
30,Efe BAYRAM,TÜRKIYE,7 (31),132,24%
31,Mathijs DESMET,BELGIUM,6 (21),112,24%
32,Tobias Hougs KJÆR,DENMARK,6 (21),120,24%
33,Aleksandar LJAFTOV,NORTH MACEDONIA,6 (23),120,24%
34,Seppe ROTTY,BELGIUM,6 (17),82,24%
35,Johan VAHTER,ESTONIA,5 (15),55,24%
36,Robert Adrian ACIOBANITEI,ROMANIA,5 (21),94,23%
37,Tino HANŽIĆ,CROATIA,7 (16),86,23%
38,Silver MAAR,ESTONIA,4 (14),77,23%
39,Branislav SKASKO,SLOVAKIA,5 (8),26,23%
40,Sebastien DUMONT,BELGIUM,4 (9),36,22%
41,Vlad Alexandru KANTOR,ROMANIA,4 (13),42,21%
42,Kobe VERWIMP,BELGIUM,4 (11),71,21%
43,Marian VITKO,SLOVAKIA,6 (21),124,20%
44,Darko ANGELOVSKI,NORTH MACEDONIA,6 (23),104,19%
45,Julius FIRKAL,SLOVAKIA,6 (21),129,19%
46,Rares Ionut BALEAN,ROMANIA,5 (18),78,18%
47,Stefan KAIBALD,ESTONIA,5 (17),111,14%
48,Luka MARTTILA,FINLAND,6 (12),52,13%
49,Filip SESTAN,CROATIA,5 (16),86,12%
