,Name,Team,MatchesPlayed(Sets),KillSpikes,SetAverage
1,Nikola GJORGIEV,NORTH MACEDONIA,6 (23),106,4.61
2,Adis LAGUMDZIJA,TÜRKIYE,7 (30),105,3.5
3,Alexandru RATA,ROMANIA,6 (25),98,3.92
4,Marek SOTOLA,CZECHIA,8 (27),98,3.63
5,Mads Kyed JENSEN,DENMARK,6 (20),94,4.7
6,Joonas JOKELA,FINLAND,6 (23),94,4.09
7,Patrik LAMANEC,SLOVAKIA,5 (20),92,4.6
8,Oleh PLOTNYTSKYI,UKRAINE,8 (26),92,3.54
9,Lukas VASINA,CZECHIA,8 (29),89,3.07
10,Efe BAYRAM,TÜRKIYE,7 (31),82,2.65
11,Mathijs DESMET,BELGIUM,6 (21),80,3.81
12,Vasyl TUPCHII,UKRAINE,8 (26),78,3
13,Alexandre FERREIRA,PORTUGAL,6 (24),71,2.96
14,Illia KOVALOV,UKRAINE,8 (25),70,2.8
15,Marino MARELIC,CROATIA,7 (24),67,2.79
16,Antti RONKAINEN,FINLAND,6 (23),67,2.91
17,Valentin KORDAS,ESTONIA,6 (22),63,2.86
18,Petar DIRLIC,CROATIA,4 (15),62,4.13
19,Aleksandar LJAFTOV,NORTH MACEDONIA,6 (23),59,2.57
20,Jose Pedro PINTO,PORTUGAL,6 (20),58,2.9
21,Oskar Kjerstein MADSEN,DENMARK,6 (21),55,2.62
22,Jakub IHNAT,SLOVAKIA,6 (23),53,2.3
23,Martin LICEK,CZECHIA,7 (26),53,2.04
24,Ferre REGGERS,BELGIUM,6 (17),53,3.12
25,Ivan ZELJKOVIĆ,CROATIA,7 (22),52,2.36
26,Jolan COX,BELGIUM,6 (18),50,2.78
27,Julius FIRKAL,SLOVAKIA,6 (21),50,2.38
28,Dmytro TERYOMENKO,UKRAINE,8 (25),48,1.92
29,Patrik INDRA,CZECHIA,8 (27),47,1.74
30,Yurii SEMENIUK,UKRAINE,8 (27),46,1.7
31,Kaan GÜRBÜZ,TÜRKIYE,7 (26),44,1.69
32,Kruno NIKAČEVIĆ,CROATIA,8 (31),43,1.39
33,Karli ALLIK,ESTONIA,6 (21),42,2
34,Lourenco MARTINS,PORTUGAL,5 (19),40,2.11
35,Robert Adrian ACIOBANITEI,ROMANIA,5 (21),39,1.86
36,Tobias Hougs KJÆR,DENMARK,6 (21),38,1.81
37,Marian Iulian BALA,ROMANIA,3 (13),36,2.77
38,Bedirhan BÜLBÜL,TÜRKIYE,6 (25),33,1.32
39,Miika HAAPANIEMI,FINLAND,6 (18),32,1.78
40,Tino HANŽIĆ,CROATIA,7 (16),32,2
41,Seppe ROTTY,BELGIUM,6 (17),32,1.88
42,Andri AGANITS,ESTONIA,5 (16),31,1.94
43,Tomislav MITRAŠINOVIĆ,CROATIA,4 (13),31,2.38
44,Burutay SUBASI,TÜRKIYE,4 (15),31,2.07
45,Jiri HÄNNINEN,FINLAND,6 (17),30,1.76
46,Vlado MILEV,NORTH MACEDONIA,6 (22),30,1.36
47,Peter ONDROVIC,SLOVAKIA,6 (23),30,1.3
48,Yiğit GÜLMEZOĞLU,TÜRKIYE,8 (27),29,1.07
49,Filip SAVOVSKI,NORTH MACEDONIA,6 (23),29,1.26
50,Filip SESTAN,CROATIA,5 (16),29,1.81
