,Name,Team,MatchesPlayed(Sets),Aces,SetAverage
1,Vasyl TUPCHII,UKRAINE,8 (26),20,0.77
2,Adis LAGUMDZIJA,TÜRKIYE,7 (30),15,0.5
3,Oleh PLOTNYTSKYI,UKRAINE,8 (26),15,0.58
4,Miguel TAVARES RODRIGUES,PORTUGAL,5 (20),12,0.6
5,Efe BAYRAM,TÜRKIYE,7 (31),11,0.35
6,Aleksandar LJAFTOV,NORTH MACEDONIA,6 (23),11,0.48
7,Jakub IHNAT,SLOVAKIA,6 (23),10,0.43
8,Dmytro TERYOMENKO,UKRAINE,8 (25),10,0.4
9,Karli ALLIK,ESTONIA,6 (21),9,0.43
10,Tobias Hougs KJÆR,DENMARK,6 (21),9,0.43
11,Mathijs DESMET,BELGIUM,6 (21),8,0.38
12,Martin LICEK,CZECHIA,7 (26),8,0.31
13,Antti RONKAINEN,FINLAND,6 (23),8,0.35
14,Patrik INDRA,CZECHIA,8 (27),7,0.26
15,Mads Kyed JENSEN,DENMARK,6 (20),7,0.35
16,Alexandre FERREIRA,PORTUGAL,6 (24),6,0.25
17,Fedor IVANOV,FINLAND,6 (23),6,0.26
18,Patrik LAMANEC,SLOVAKIA,5 (20),6,0.3
19,Oskar Kjerstein MADSEN,DENMARK,6 (21),6,0.29
20,Ferre REGGERS,BELGIUM,6 (17),6,0.35
21,Marek SOTOLA,CZECHIA,8 (27),6,0.22
22,Adam ZAJICEK,CZECHIA,8 (28),6,0.21
23,Robert Adrian ACIOBANITEI,ROMANIA,5 (21),5,0.24
24,Arslan EKŞİ,TÜRKIYE,8 (32),5,0.16
25,Marino MARELIC,CROATIA,7 (24),5,0.21
26,Jose Pedro PINTO,PORTUGAL,6 (20),5,0.25
27,Yurii SEMENIUK,UKRAINE,8 (27),5,0.19
28,Lukas VASINA,CZECHIA,8 (29),5,0.17
29,Bedirhan BÜLBÜL,TÜRKIYE,6 (25),4,0.16
30,Petar DIRLIC,CROATIA,4 (15),4,0.27
31,Nikola GJORGIEV,NORTH MACEDONIA,6 (23),4,0.17
32,Yiğit GÜLMEZOĞLU,TÜRKIYE,8 (27),4,0.15
33,Mikkel HOFF,DENMARK,6 (21),4,0.19
34,Tomislav MITRAŠINOVIĆ,CROATIA,4 (13),4,0.31
35,Seppe ROTTY,BELGIUM,6 (17),4,0.24
36,Filip SESTAN,CROATIA,5 (16),4,0.25
37,Simon Tabermann UHRENHOLT,DENMARK,6 (21),4,0.19
38,Robert CALIN,ROMANIA,6 (21),3,0.14
39,Gabriel CHERBELEATA,ROMANIA,6 (16),3,0.19
40,Jolan COX,BELGIUM,6 (18),3,0.17
41,Basil DERMAUX,BELGIUM,6 (17),3,0.18
42,Julius FIRKAL,SLOVAKIA,6 (21),3,0.14
43,Faik Samed GÜNEŞ,TÜRKIYE,7 (28),3,0.11
44,Miika HAAPANIEMI,FINLAND,6 (18),3,0.17
45,Tino HANŽIĆ,CROATIA,7 (16),3,0.19
46,Joonas JOKELA,FINLAND,6 (23),3,0.13
47,Stefan KAIBALD,ESTONIA,5 (17),3,0.18
48,Filip MADJUNKOV,NORTH MACEDONIA,6 (23),3,0.13
49,Marko Mert MATIĆ,TÜRKIYE,6 (21),3,0.14
50,Liam MC CLUSKEY,BELGIUM,6 (21),3,0.14
